id,name,cost,priceML,priceEComm,priceLocal,quantity,quantityML,soldToDistribute,idMeli,filtroAnimal,filtroProducto,isDeleted,files,createdAt,updatedAt
11,Alimento Old Prince Proteínas Noveles Perro Adulto  15 kg,0,27499.00,0,0,1,1,,MLA929519459,Perro,Accesorios,False,"{""thumbnail"":""http://http2.mlstatic.com/D_969788-MLA43208417855_082020-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_969788-MLA43208417855_082020-O.jpg"",""http://http2.mlstatic.com/D_859111-MLA53149276246_012023-O.jpg"",""http://http2.mlstatic.com/D_887433-MLA48992986736_022022-O.jpg""]}",2023-11-07 19:37:58.508+00,2023-11-09 03:32:22.912+00
12,Alimento Vitalcan Balanced Perro Adulto Raza Pequeña  15 kg,0,23904.00,0,0,7,7,,MLA929516495,Gato,Ropa,False,"{""thumbnail"":""http://http2.mlstatic.com/D_881517-MLA32083262307_092019-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_881517-MLA32083262307_092019-O.jpg"",""http://http2.mlstatic.com/D_860934-MLA51933023437_102022-O.jpg"",""http://http2.mlstatic.com/D_847526-MLA48992927092_022022-O.jpg""]}",2023-11-07 19:37:58.516+00,2023-11-09 03:28:02.388+00
13,Alimento Unik Premium Gatito Kitten / Gato Cachorro X 2 Kg,0,7800.00,0,0,1,1,,MLA929512162,Perro,Alimento,False,"{""thumbnail"":""http://http2.mlstatic.com/D_905215-MLA46743329327_072021-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_905215-MLA46743329327_072021-O.jpg"",""http://http2.mlstatic.com/D_756338-MLA46743304631_072021-O.jpg"",""http://http2.mlstatic.com/D_773100-MLA53148814505_012023-O.jpg"",""http://http2.mlstatic.com/D_779823-MLA49022737130_022022-O.jpg""]}",2023-11-07 19:37:58.523+00,2023-11-09 03:32:54.374+00
14,Alimento Gato Royal Canin Fit 32 Sabor Mix 15 kg ,0,54699.00,0,0,1,1,,MLA929504842,Gato,Accesorios,False,"{""thumbnail"":""http://http2.mlstatic.com/D_907143-MLA48265777612_112021-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_907143-MLA48265777612_112021-O.jpg"",""http://http2.mlstatic.com/D_818591-MLA48265803434_112021-O.jpg"",""http://http2.mlstatic.com/D_903684-MLA51932937983_102022-O.jpg"",""http://http2.mlstatic.com/D_791310-MLA48992901084_022022-O.jpg""]}",2023-11-07 19:37:58.53+00,2023-11-09 03:29:45.834+00
15,Alimento Excellent Adult Gato Adulto Pollo Y Arroz 15 Kg,0,42999.00,0,0,2,2,,MLA929502716,Perro,Ropa,False,"{""thumbnail"":""http://http2.mlstatic.com/D_876018-MLA32041427461_092019-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_876018-MLA32041427461_092019-O.jpg"",""http://http2.mlstatic.com/D_939991-MLA53149302537_012023-O.jpg"",""http://http2.mlstatic.com/D_925677-MLA48880864281_012022-O.jpg""]}",2023-11-07 19:37:58.536+00,2023-11-09 03:28:24.024+00
16,Alimento Excellent Adult Para Gato Adulto Sabor Pollo Y Arroz En Bolsa De 15 kg,0,42999.00,0,0,2,2,,MLA929502379,Gato,Alimento,False,"{""thumbnail"":""http://http2.mlstatic.com/D_750094-MLA49052581132_022022-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_750094-MLA49052581132_022022-O.jpg""]}",2023-11-07 19:37:58.542+00,2023-11-09 03:28:02.042+00
17,Vitalcan Therapy Urinary Gato Bolsa X 7.5 Kg,0,34191.00,0,0,0,0,,MLA930013876,Perro,Accesorios,False,"{""thumbnail"":""http://http2.mlstatic.com/D_884043-MLA46785968861_072021-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_884043-MLA46785968861_072021-O.jpg"",""http://http2.mlstatic.com/D_691868-MLA49022692566_022022-O.jpg""]}",2023-11-07 19:37:58.55+00,2023-11-09 03:28:15.122+00
18,Vitalcan Therapy Gato Urinary 2 Kg Gato ,0,11250.00,0,0,1,1,,MLA930012345,Gato,Ropa,False,"{""thumbnail"":""http://http2.mlstatic.com/D_790550-MLA46785991702_072021-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_790550-MLA46785991702_072021-O.jpg"",""http://http2.mlstatic.com/D_858768-MLA53149100183_012023-O.jpg"",""http://http2.mlstatic.com/D_776567-MLA50112362241_052022-O.jpg""]}",2023-11-07 19:37:58.556+00,2023-11-08 22:08:59.688+00
19,Vitalcan Therapy Gato Renal Felino 2 Kg,0,10305.00,0,0,1,1,,MLA930011946,Perro,Alimento,False,"{""thumbnail"":""http://http2.mlstatic.com/D_865696-MLA46785905451_072021-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_865696-MLA46785905451_072021-O.jpg"",""http://http2.mlstatic.com/D_857097-MLA53149417418_012023-O.jpg"",""http://http2.mlstatic.com/D_629164-MLA49437289434_032022-O.jpg""]}",2023-11-07 19:37:58.562+00,2023-11-09 03:34:45.29+00
20,Vitalcan Therapy Gato Feline Obesity 2 Kg,0,3569.00,0,0,3,3,,MLA930011377,Gato,Accesorios,False,"{""thumbnail"":""http://http2.mlstatic.com/D_742762-MLA46785827684_072021-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_742762-MLA46785827684_072021-O.jpg"",""http://http2.mlstatic.com/D_688545-MLA48992914058_022022-O.jpg""]}",2023-11-07 19:37:58.569+00,2023-11-08 22:07:14.443+00
21,Vitalcan Therapy Gato Gastrointestinal Feline 2 Kg Gato ,0,11016.00,0,0,2,2,,MLA930011056,Perro,Ropa,False,"{""thumbnail"":""http://http2.mlstatic.com/D_752224-MLA46785755826_072021-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_752224-MLA46785755826_072021-O.jpg"",""http://http2.mlstatic.com/D_615041-MLA53145041975_012023-O.jpg"",""http://http2.mlstatic.com/D_822453-MLA48992879818_022022-O.jpg""]}",2023-11-07 19:37:58.575+00,2023-11-09 03:28:23.509+00
22,Piedras Sanitarias Gato Silica Gel 3.8 Lts.,0,7899.00,0,0,3,3,,MLA930010741,Gato,Alimento,False,"{""thumbnail"":""http://http2.mlstatic.com/D_694139-MLA69774444791_062023-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_694139-MLA69774444791_062023-O.jpg"",""http://http2.mlstatic.com/D_799151-MLA50984313944_082022-O.jpg""]}",2023-11-07 19:37:58.583+00,2023-11-09 03:35:02.265+00
23,"Piedras Sanitarias Gato Absorsol 6 Bolsas X 3,6kg",0,7200.00,0,0,0,0,,MLA930010493,Perro,Accesorios,False,"{""thumbnail"":""http://http2.mlstatic.com/D_708706-MLA46785703520_072021-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_708706-MLA46785703520_072021-O.jpg"",""http://http2.mlstatic.com/D_731815-MLA49022879502_022022-O.jpg""]}",2023-11-07 19:37:58.589+00,2023-11-09 03:35:03.779+00
24,Piedras Sanitarias Perfumadas Alta Gama Lavanda X 3.6 Kg,0,960.00,0,0,0,0,,MLA930007937,Gato,Ropa,False,"{""thumbnail"":""http://http2.mlstatic.com/D_708552-MLA49959887380_052022-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_708552-MLA49959887380_052022-O.jpg"",""http://http2.mlstatic.com/D_759934-MLA49725880739_042022-O.jpg""]}",2023-11-07 19:37:58.595+00,2023-11-08 22:30:19.533+00
25,Piedras Sanitarias Alta Gama 6 Bolsas X 3.6kg,0,5340.00,0,0,0,0,,MLA930007261,Perro,Alimento,False,"{""thumbnail"":""http://http2.mlstatic.com/D_803471-MLA46785629098_072021-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_803471-MLA46785629098_072021-O.jpg"",""http://http2.mlstatic.com/D_902471-MLA47326336531_092021-O.jpg"",""http://http2.mlstatic.com/D_634691-MLA46785599369_072021-O.jpg""]}",2023-11-07 19:37:58.603+00,2023-11-09 03:31:51.89+00
26,Vital Can Therapy Hypoallergenic Gato2 Kg  Hipoalergenico,0,13761.00,0,0,4,4,,MLA930169295,Gato,Accesorios,False,"{""thumbnail"":""http://http2.mlstatic.com/D_747670-MLA53148730763_012023-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_747670-MLA53148730763_012023-O.jpg"",""http://http2.mlstatic.com/D_677367-MLA53148795240_012023-O.jpg"",""http://http2.mlstatic.com/D_870056-MLA48992766715_022022-O.jpg""]}",2023-11-07 19:37:58.61+00,2023-11-09 03:28:08.379+00
27,Rascador Gato Afila Uñas  Colgante De Pared,0,1050.00,0,0,0,0,,MLA930391715,Perro,Ropa,False,"{""thumbnail"":""http://http2.mlstatic.com/D_900927-MLA46825351797_072021-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_900927-MLA46825351797_072021-O.jpg"",""http://http2.mlstatic.com/D_839425-MLA46825330822_072021-O.jpg"",""http://http2.mlstatic.com/D_720870-MLA46825426185_072021-O.jpg"",""http://http2.mlstatic.com/D_865918-MLA49254707440_032022-O.jpg""]}",2023-11-07 19:37:58.617+00,2023-11-09 03:28:44.855+00
28,Alfombra Antidesgarro Colchón Cama Camita Perro Large Grande,0,13100.00,0,0,0,0,,MLA932800466,Gato,Alimento,False,"{""thumbnail"":""http://http2.mlstatic.com/D_881995-MLA49433793578_032022-I.jpg"",""pictures"":[""http://http2.mlstatic.com/D_881995-MLA49433793578_032022-O.jpg"",""http://http2.mlstatic.com/D_617052-MLA48028112676_102021-O.jpg"",""http://http2.mlstatic.com/D_965513-MLA48028164362_102021-O.jpg"",""http://http2.mlstatic.com/D_621626-MLA49433895002_032022-O.jpg"",""http://http2.mlstatic.com/D_751936-MLA48028131458_102021-O.jpg"",""http://http2.mlstatic.com/D_820729-MLA49433805565_032022-O.jpg"",""http://http2.mlstatic.com/D_887090-MLA49433752862_032022-O.jpg"",""http://http2.mlstatic.com/D_617464-MLA48028155346_102021-O.jpg"",""http://http2.mlstatic.com/D_794159-MLA52385545498_112022-O.jpg"",""http://http2.mlstatic.com/D_799700-MLA52385563445_112022-O.jpg"",""http://http2.mlstatic.com/D_788017-MLA52385517640_112022-O.jpg"",""http://http2.mlstatic.com/D_750361-MLA52385555486_112022-O.jpg"",""http://http2.mlstatic.com/D_869425-MLA52385556551_112022-O.jpg"",""http://http2.mlstatic.com/D_916798-MLA52385545530_112022-O.jpg"",""http://http2.mlstatic.com/D_704393-MLA52385567494_112022-O.jpg"",""http://http2.mlstatic.com/D_873030-MLA52385567491_112022-O.jpg"",""http://http2.mlstatic.com/D_681010-MLA52385459836_112022-O.jpg""]}",2023-11-07 19:37:58.624+00,2023-11-09 03:28:23.239+00
